,index_name,dataset,index_build_duration,index_size
0,sampledflatpgm4096,fb,0.042657234,0.091008
1,sampledflatpgm1024,fb,0.055475082,0.731488
2,sampledflatpgm256,fb,0.058450757,3.16232
3,sampledpgm256,fb,0.064057373,3.189976
4,flatpgm256,fb,6.459894029,4.100112
5,flatpgm256,fb,6.507688819,4.100112
6,pgm256,fb,5.929047908,4.14388
7,btree256,fb,0.002208203,12.627696
8,btree256,fb,0.005412373,12.627696
9,alex,fb,106.191894844,59.647952
10,rmi,fb,22.840080136,402.6532
11,radixspline4096,fb,3.386695071,954.52456
12,radixspline1024,fb,3.465247572,955.184512
13,radixspline256,fb,3.542897154,958.3752
14,radixspline256,fb,3.548221682,958.3752
